호선,역사명,미세먼지(PM10),이산화탄소(CO2),포름알데히드(HCHO),일산화탄소(CO),avg_congestion,freq
7,하계,81.0,686,9.0,1.1,27.28995148995149,420.0
7,공릉,69.4,635,9.3,1.1,29.90781935781936,420.0
7,태릉입구,76.3,643,14.5,1.3,30.899803649803648,420.0
7,먹골,66.4,706,15.7,1.2,31.752425502425506,420.0
7,중화,93.1,667,11.3,1.2,33.17592977592978,420.0
7,상봉,78.8,710,15.9,1.2,35.53555093555094,420.0
7,면목,60.4,672,10.7,1.3,38.12643797643798,420.0
7,사가정,72.9,728,12.0,1.0,39.820050820050824,420.0
7,용마산,80.4,642,12.1,1.0,41.24577269577269,420.0
7,중곡,63.2,598,12.5,1.0,42.59899514899515,420.0
7,군자,70.0,715,11.9,1.0,43.29527604527605,420.0
7,어린이대공원,69.3,669,10.4,0.9,43.82692307692307,420.0
7,건대입구,64.6,754,15.1,1.0,40.16492261492261,420.0
7,청담,60.4,649,16.2,1.0,36.26488796488797,420.0
7,강남구청,72.1,633,14.8,1.0,35.52307692307692,420.0
7,학동,87.8,708,25.7,1.3,35.26711711711712,420.0
7,논현,86.8,655,24.3,1.3,35.172106722106726,420.0
7,반포,62.4,621,13.4,1.1,34.9080388080388,420.0
7,고속터미널,67.6,728,18.5,1.2,37.00255255255255,420.0
7,내방,61.1,603,13.7,1.1,38.78709863709864,420.0
7,이수,69.1,664,15.3,1.2,,420.0
7,남성,68.2,616,12.1,1.0,34.26923076923077,420.0
7,숭실대입구,63.5,591,16.3,1.0,32.14229614229614,420.0
7,상도,71.7,561,11.5,1.0,30.247967197967196,420.0
7,장승배기,61.3,591,11.6,1.1,29.017659967659966,420.0
7,신대방삼거리,85.9,542,14.6,1.2,27.736382536382532,420.0
7,보라매,86.3,519,36.9,1.0,26.742504042504038,420.0
7,신풍,89.4,578,15.7,1.3,26.557611457611458,420.0
7,대림,90.8,616,17.8,1.2,30.344686994686995,420.0
7,남구로,66.8,570,22.8,1.3,33.30706860706861,420.0
7,가산디지털단지,79.1,560,19.7,1.0,34.82989142989143,420.0
7,철산,70.5,559,15.6,1.1,33.11828366828367,420.0
7,광명사거리,72.2,570,17.2,1.3,28.474855624855625,420.0
7,천왕,110.5,570,20.1,1.1,25.041626241626236,420.0
7,온수,75.2,464,14.5,0.9,21.994271194271192,420.0
7,까치울,87.7,563,13.6,1.2,36.76126126126126,420.0
7,부천종합운동장,67.5,457,13.0,0.9,35.52823977823978,420.0
7,춘의,85.1,466,11.1,1.0,33.71699006699007,420.0
7,신중동,79.6,514,23.4,0.9,31.49677754677755,420.0
7,부천시청,78.5,462,14.7,0.9,28.973665973665973,420.0
7,상동,83.5,500,12.6,0.9,26.33118503118503,420.0
7,삼산체육관,66.3,478,23.0,1.0,23.996777546777547,420.0
7,굴포천,61.4,451,12.7,0.8,21.164576114576114,420.0
7,부평구청,67.8,497,16.0,0.8,9.71856086856087,420.0
8,암사,76.2,654,10.8,1.0,5.394513744513745,282.0
8,천호,71.8,549,10.9,0.8,19.994837144837145,282.0
8,강동구청,71.5,602,8.4,1.0,30.652333102333102,282.0
8,몽촌토성,66.5,625,11.4,1.1,32.50957495957496,282.0
8,잠실,73.0,673,14.5,1.0,38.67456687456687,282.0
8,석촌,85.1,636,10.4,1.0,45.479591129591135,282.0
8,송파,72.1,644,11.6,1.1,46.267763917763915,282.0
8,가락시장,83.8,649,8.6,1.0,43.459794409794405,282.0
8,문정,78.6,676,6.4,1.2,39.347909447909444,282.0
8,장지,66.7,586,23.6,0.9,33.79035574035574,282.0
8,복정,80.0,628,7.3,1.0,24.576518826518832,282.0
8,산성,60.0,568,6.9,0.9,16.354504504504504,282.0
8,남한산성입구,71.2,664,9.6,1.1,13.74133749133749,282.0
8,단대오거리,68.9,638,11.3,1.0,10.366608916608916,282.0
8,신흥,76.9,673,27.2,1.2,8.00940170940171,282.0
8,수진,61.0,630,12.5,1.2,7.222014322014322,282.0
8,모란,76.1,643,8.1,1.1,3.326033726033726,282.0
